"","rmeans_nexpr","rmeans_texpr","gene"
"200621_at",1918.74406976744,1902.2731627907,"CSRP1"
"200622_x_at",718.511209302326,658.732209302326,"CALM1 /// CALM2 /// CALM3"
"200623_s_at",112.22206744186,102.38951627907,"CALM1 /// CALM2 /// CALM3"
"200624_s_at",1492.47060465116,1629.3896744186,"MATR3 /// SNHG4"
"200625_s_at",1248.7105,1356.36811627907,"CAP1"
"200626_s_at",1062.52800465116,1502.67776744186,"MATR3 /// SNHG4"
"200627_at",2585.00241860465,3010.2223255814,"PTGES3"
"200628_s_at",304.709906976744,267.396120930233,"WARS"
"200629_at",2130.82286046512,1810.8861627907,"WARS"
"200630_x_at",2024.57341860465,2244.58395348837,"SET /// SETSIP"
"200631_s_at",1757.44609302326,2049.88188372093,"SET /// SETSIP"
"200632_s_at",2966.54886046512,2118.14006976744,"NDRG1"
"200633_at",9149.25906976744,8476.03767441861,"UBB"
"200634_at",286.643886046512,340.259425581395,"PFN1"
"200635_s_at",751.357441860465,773.777302325581,"PTPRF"
"200636_s_at",1686.15027906977,1445.98060465116,"PTPRF"
"200637_s_at",151.639725581395,119.238820930233,"PTPRF"
"200638_s_at",937.674204651163,1126.57385116279,"YWHAZ"
"200639_s_at",1385.01744186047,1687.66746511628,"YWHAZ"
"200640_at",2884.54572093023,3268.90623255814,"YWHAZ"
"200641_s_at",1557.16879069767,1501.98341860465,"YWHAZ"
"200642_at",3206.66879069767,2968.14581395349,"SOD1"
"200643_at",288.394046511628,236.335837209302,"HDLBP"
"200644_at",498.526209302326,740.362,"MARCKSL1"
"200645_at",3690.69348837209,3308.43093023256,"GABARAP"
"200646_s_at",303.332604651163,260.133730232558,"NUCB1"
"200647_x_at",1244.70330232558,1597.25360465116,"EIF3C /// EIF3CL"
"200648_s_at",776.439627906977,461.048837209302,"GLUL"
"200649_at",1264.72237209302,937.745906976744,"NUCB1"
"200650_s_at",6105.46232558139,5604.97488372093,"LDHA"
"200651_at",1385.36857209302,1530.18243023256,"GNB2L1 /// SNORD95 /// SNORD96A"
"200652_at",2428.21530232558,2926.44641860465,"SSR2"
"200653_s_at",899.354674418605,543.582104651163,"CALM1 /// CALM2 /// CALM3"
"200654_at",523.159597674419,874.277072093023,"P4HB"
